date,min,max,median,q1,q3,stdev,count
2020-11-08T00:00:00.000Z,0.3,38.7,3.75,1.94,7.45,5.052,153
2020-11-09T00:00:00.000Z,3.7,46.65,8.93,7.45,11.5,4.373,272
2020-11-10T00:00:00.000Z,0.1,7.68,1.09,0.63,4.25,2.14,240
2020-11-11T00:00:00.000Z,0.47,2.1,1.25,1,1.5,0.389,81
2020-11-12T00:00:00.000Z,0.1,5.63,0.8,0.68,0.98,0.447,233
2020-11-13T00:00:00.000Z,0.2,54.17,1.9,1.52,2.29,7.028,233
2020-11-14T00:00:00.000Z,0.1,689.03,3.4,2.37,6.05,59.417,137
2020-11-15T00:00:00.000Z,0.3,9.73,2.25,0.9,2.81,1.553,80
2020-11-16T00:00:00.000Z,0.28,3.17,1.83,1.23,2.29,0.629,171
2020-11-17T00:00:00.000Z,0,1.98,0.5,0.2,0.83,0.52,73
2020-11-18T00:00:00.000Z,0,3.5,1.63,1.27,2.04,0.807,120
2020-11-19T00:00:00.000Z,0.5,35.15,2.1,1.4,3.3,3.535,186
2020-11-20T00:00:00.000Z,0,24.77,0.9,0.2,1.6,1.91,311
2020-11-21T00:00:00.000Z,0.1,5.15,1.2,0.6,2.54,1.356,208
2020-11-22T00:00:00.000Z,1.1,25,2.4,1.51,4.19,4.029,73
2020-11-23T00:00:00.000Z,0,39.54,0.98,0.73,1.4,2.908,190
2020-11-24T00:00:00.000Z,0.2,4.82,2.57,2.04,3.78,1.226,42
2020-11-25T00:00:00.000Z,1.9,3.33,2.15,2.02,2.6,0.482,8
2020-11-30T00:00:00.000Z,1.65,8.98,4.29,3.53,5.4,1.322,82
2020-12-01T00:00:00.000Z,1.3,7.47,2.89,2.38,3.67,1.294,206
2020-12-02T00:00:00.000Z,0.4,5.55,2.54,1.7,3.05,1.016,134
2020-12-03T00:00:00.000Z,0.4,58.42,5.68,3.66,7.35,5.653,113
2020-12-04T00:00:00.000Z,0.4,22.2,3.17,1.7,5.08,2.783,237
2020-12-05T00:00:00.000Z,0.85,41.55,4.82,2.61,22.8,11.229,144
2020-12-06T00:00:00.000Z,10.35,50.65,20.07,16.5,23.98,7.245,295
2020-12-07T00:00:00.000Z,10.9,68.45,17.07,14.77,21.4,6.795,250
2020-12-08T00:00:00.000Z,2.22,16.25,4.55,3.72,10.37,4.416,192
2020-12-09T00:00:00.000Z,0.52,17.88,1.88,1.5,2.27,1.867,111
2020-12-10T00:00:00.000Z,0.38,146.75,4.45,2.67,8.21,10.918,237
2020-12-11T00:00:00.000Z,2.17,16.42,3.9,3.2,4.84,2.137,278
